alpha,AUC,Precision@100,KendallTau,Spearman,algorithm
0.1,0.6719517138867618,0.66,0.2471074754314392,0.3588842021445046,PageRank
0.3,0.6764560154947975,0.66,0.2530281117883699,0.3672428006678629,PageRank
0.5,0.6798792847169046,0.67,0.2574572901317226,0.3747647684596205,PageRank
0.7,0.6870411242736814,0.67,0.2668127994896208,0.3878048714128139,PageRank
0.9,0.6946083509751813,0.68,0.2772530055846665,0.4025032717023021,PageRank
0.1,0.6692941759380209,0.66,0.2429042755749922,0.3541773040447672,EigenTrust
0.3,0.6725372730958065,0.67,0.2479661936816811,0.3608939297339107,EigenTrust
0.5,0.6749245529480653,0.67,0.2523953720250338,0.3662669582101909,EigenTrust
0.7,0.6791135534435386,0.67,0.2573217030395792,0.373786658709993,EigenTrust
0.9,0.6837529840998153,0.67,0.2641462533441329,0.3831301688588455,EigenTrust
0.1,0.6740236926264582,0.66,0.2481921721685868,0.3606495156611016,PowerTrust
0.3,0.6825818656817261,0.66,0.2599882491850671,0.3776938829370053,PowerTrust
0.5,0.6908247376244314,0.67,0.27110639074083,0.3939406169029436,PowerTrust
0.7,0.700508986081708,0.67,0.284032360191839,0.4129187574877422,PowerTrust
0.9,0.7120850412143598,0.68,0.3025625961181106,0.4369339138810074,PowerTrust
0.1,0.6556911850817531,0.66,0.2230233760716062,0.3282592666844663,AbsoluteTrust
0.3,0.6556911850817531,0.66,0.2230233760716062,0.3282592666844663,AbsoluteTrust
0.5,0.6556911850817531,0.66,0.2229781701577374,0.3282511044038162,AbsoluteTrust
0.7,0.6556911850817531,0.66,0.2229329642438686,0.3282497440237079,AbsoluteTrust
0.9,0.6557812711139138,0.66,0.2229329642438686,0.3283236580095948,AbsoluteTrust
0.1,0.7365433989459933,0.71,0.3612718070162248,0.5128147341328237,ShapleyTrust
0.3,0.7346966352866988,0.71,0.3590572178445485,0.5097178400507278,ShapleyTrust
0.5,0.7345164632223773,0.71,0.3583792823838312,0.5091231293707851,ShapleyTrust
0.7,0.7343813341741363,0.71,0.3581533038969255,0.5087970927875759,ShapleyTrust
0.9,0.7344263771902168,0.71,0.3583340866864501,0.5088224864574782,ShapleyTrust
0.1,0.7414530876987523,0.7,0.3694874848247957,0.5170419520999153,RepuLink
0.3,0.7687491554434485,0.7,0.4122334298320022,0.5708325837070922,RepuLink
0.5,0.7836133507499662,0.71,0.4331940663678819,0.5980651424396789,RepuLink
0.7,0.798477546056484,0.72,0.4574283814950486,0.6245807503887467,RepuLink
0.9,0.8144678167650106,0.76,0.4808560543134741,0.6517380956822809,RepuLink
